{'baseline-error': 0.0135, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 100}
{'baseline-error': 0.0035, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 101}
{'baseline-error': 0.0005, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 102}
{'baseline-error': 0.005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 103}
{'baseline-error': 0.0025, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 104}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 105}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 106}
{'baseline-error': 0.003, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 107}
{'baseline-error': 0.0055, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 108}
{'baseline-error': 0.0105, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 109}
{'baseline-error': 0.0045, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 110}
{'baseline-error': 0.0025, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 111}
{'baseline-error': 0.0015, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 112}
{'baseline-error': 0.0165, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4.5, 'iter': 113}
{'baseline-error': 0.006, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 114}
{'baseline-error': 0.0045, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 115}
{'baseline-error': 0.0035, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 116}
{'baseline-error': 0.0115, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 117}
{'baseline-error': 0.0045, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 118}
{'baseline-error': 0.0025, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4.5, 'iter': 119}
{'baseline-error': 0.0035, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 120}
{'baseline-error': 0.0085, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 121}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 122}
{'baseline-error': 0.0055, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 123}
{'baseline-error': 0.0095, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4.5, 'iter': 124}
{'baseline-error': 0.005, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 125}
{'baseline-error': 0.004, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 126}
{'baseline-error': 0.0015, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 127}
{'baseline-error': 0.0035, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 128}
{'baseline-error': 0.004, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 129}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 130}
{'baseline-error': 0.004, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 131}
{'baseline-error': 0.0025, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 132}
{'baseline-error': 0.0055, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 133}
{'baseline-error': 0.002, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4.5, 'iter': 134}
{'baseline-error': 0.0015, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 135}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 136}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 4.5, 'iter': 137}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 138}
{'baseline-error': 0.0045, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 139}
{'baseline-error': 0.007, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 140}
{'baseline-error': 0.002, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 141}
{'baseline-error': 0.016, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 142}
{'baseline-error': 0.0075, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 143}
{'baseline-error': 0.003, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 144}
{'baseline-error': 0.0025, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4.5, 'iter': 145}
{'baseline-error': 0.0035, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4.5, 'iter': 146}
{'baseline-error': 0.006, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 147}
{'baseline-error': 0.008, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4.5, 'iter': 148}
{'baseline-error': 0.002, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4.5, 'iter': 149}
