{'baseline-error': 0.1365, 'self-trained-error': 0.112, 'p': 0.15000000000000002, 'mu': 2, 'iter': 350}
{'baseline-error': 0.124, 'self-trained-error': 0.1035, 'p': 0.15000000000000002, 'mu': 2, 'iter': 351}
{'baseline-error': 0.1105, 'self-trained-error': 0.1105, 'p': 0.15000000000000002, 'mu': 2, 'iter': 352}
{'baseline-error': 0.1055, 'self-trained-error': 0.0925, 'p': 0.15000000000000002, 'mu': 2, 'iter': 353}
{'baseline-error': 0.136, 'self-trained-error': 0.1275, 'p': 0.15000000000000002, 'mu': 2, 'iter': 354}
{'baseline-error': 0.1455, 'self-trained-error': 0.151, 'p': 0.15000000000000002, 'mu': 2, 'iter': 355}
{'baseline-error': 0.1225, 'self-trained-error': 0.124, 'p': 0.15000000000000002, 'mu': 2, 'iter': 356}
{'baseline-error': 0.16, 'self-trained-error': 0.132, 'p': 0.15000000000000002, 'mu': 2, 'iter': 357}
{'baseline-error': 0.237, 'self-trained-error': 0.201, 'p': 0.15000000000000002, 'mu': 2, 'iter': 358}
{'baseline-error': 0.0785, 'self-trained-error': 0.081, 'p': 0.15000000000000002, 'mu': 2, 'iter': 359}
{'baseline-error': 0.1155, 'self-trained-error': 0.1035, 'p': 0.15000000000000002, 'mu': 2, 'iter': 360}
{'baseline-error': 0.149, 'self-trained-error': 0.11, 'p': 0.15000000000000002, 'mu': 2, 'iter': 361}
{'baseline-error': 0.0785, 'self-trained-error': 0.079, 'p': 0.15000000000000002, 'mu': 2, 'iter': 362}
{'baseline-error': 0.152, 'self-trained-error': 0.151, 'p': 0.15000000000000002, 'mu': 2, 'iter': 363}
{'baseline-error': 0.1205, 'self-trained-error': 0.119, 'p': 0.15000000000000002, 'mu': 2, 'iter': 364}
{'baseline-error': 0.147, 'self-trained-error': 0.1415, 'p': 0.15000000000000002, 'mu': 2, 'iter': 365}
{'baseline-error': 0.1735, 'self-trained-error': 0.134, 'p': 0.15000000000000002, 'mu': 2, 'iter': 366}
{'baseline-error': 0.1175, 'self-trained-error': 0.0925, 'p': 0.15000000000000002, 'mu': 2, 'iter': 367}
{'baseline-error': 0.1495, 'self-trained-error': 0.124, 'p': 0.15000000000000002, 'mu': 2, 'iter': 368}
{'baseline-error': 0.145, 'self-trained-error': 0.1335, 'p': 0.15000000000000002, 'mu': 2, 'iter': 369}
{'baseline-error': 0.1155, 'self-trained-error': 0.104, 'p': 0.15000000000000002, 'mu': 2, 'iter': 370}
{'baseline-error': 0.131, 'self-trained-error': 0.105, 'p': 0.15000000000000002, 'mu': 2, 'iter': 371}
{'baseline-error': 0.1745, 'self-trained-error': 0.17, 'p': 0.15000000000000002, 'mu': 2, 'iter': 372}
{'baseline-error': 0.1035, 'self-trained-error': 0.0955, 'p': 0.15000000000000002, 'mu': 2, 'iter': 373}
{'baseline-error': 0.1225, 'self-trained-error': 0.111, 'p': 0.15000000000000002, 'mu': 2, 'iter': 374}
{'baseline-error': 0.163, 'self-trained-error': 0.1305, 'p': 0.15000000000000002, 'mu': 2, 'iter': 375}
{'baseline-error': 0.1685, 'self-trained-error': 0.1515, 'p': 0.15000000000000002, 'mu': 2, 'iter': 376}
{'baseline-error': 0.1245, 'self-trained-error': 0.113, 'p': 0.15000000000000002, 'mu': 2, 'iter': 377}
{'baseline-error': 0.1105, 'self-trained-error': 0.107, 'p': 0.15000000000000002, 'mu': 2, 'iter': 378}
{'baseline-error': 0.14, 'self-trained-error': 0.1145, 'p': 0.15000000000000002, 'mu': 2, 'iter': 379}
{'baseline-error': 0.185, 'self-trained-error': 0.1855, 'p': 0.15000000000000002, 'mu': 2, 'iter': 380}
{'baseline-error': 0.118, 'self-trained-error': 0.11, 'p': 0.15000000000000002, 'mu': 2, 'iter': 381}
{'baseline-error': 0.141, 'self-trained-error': 0.123, 'p': 0.15000000000000002, 'mu': 2, 'iter': 382}
{'baseline-error': 0.1725, 'self-trained-error': 0.172, 'p': 0.15000000000000002, 'mu': 2, 'iter': 383}
{'baseline-error': 0.1645, 'self-trained-error': 0.142, 'p': 0.15000000000000002, 'mu': 2, 'iter': 384}
{'baseline-error': 0.125, 'self-trained-error': 0.1105, 'p': 0.15000000000000002, 'mu': 2, 'iter': 385}
{'baseline-error': 0.1655, 'self-trained-error': 0.1635, 'p': 0.15000000000000002, 'mu': 2, 'iter': 386}
{'baseline-error': 0.131, 'self-trained-error': 0.098, 'p': 0.15000000000000002, 'mu': 2, 'iter': 387}
{'baseline-error': 0.1925, 'self-trained-error': 0.1925, 'p': 0.15000000000000002, 'mu': 2, 'iter': 388}
